production_number,case,source_cases,physical_number,source_path_relative,recommended_format,source_media,source_bytes,sha256,target_directory,target_media,preflight_state
100,04593--cbindwhs01-g--2f1686ad,04593--cbindwhs01-g--2f1686ad,1,ZH_Generals\W3D.big\Art\W3D\CBIndWhs01_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04593--cbindwhs01-g--2f1686ad\Civilian - Civilian Building - Industrial Building 01 - CBIndWhs01_G.gif,44231,700659d6a8facf1852bf343438c4806dac54f5b8fd5453d35c7ad8198f342e83,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Industrial Building 01 - CBIndWhs01_G.gif,new
101,04602--cbindwhs02-g--5c79258e,04602--cbindwhs02-g--5c79258e,1,ZH_Generals\W3D.big\Art\W3D\CBIndWhs02_g.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04602--cbindwhs02-g--5c79258e\Civilian - Civilian Building - Industrial Building 02 - CBIndWhs02_g.gif,52236,a57da987f2c9101e6289825c32300394372b8d86f9d12014f308c17ad088a34f,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Industrial Building 02 - CBIndWhs02_g.gif,new
102,05247--cbtdome-g--57551ed1,05247--cbtdome-g--57551ed1,1,ZH_Generals\W3D.big\Art\W3D\CBTDome_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05247--cbtdome-g--57551ed1\Civilian - Civilian Building - Mogadishu Dome - CBTDome_G.gif,78090,4527d64680a0c75ce1cd8652aaa60c2570e122cdeb84aa517afc2ca54cef23e9,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Mogadishu Dome - CBTDome_G.gif,new
103,01005--cbmogdis02-dsng--8335cdbc,01005--cbmogdis02-dsng--8335cdbc,1,W3DZH.big\Art\W3D\CBMogdis02_DSNG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01005--cbmogdis02-dsng--8335cdbc\Civilian - Civilian Building - Mogadishu Garage - CBMogdis02_DSNG.gif,56406,15a72b7e81529c2b597d6e7eef67b1e2abd7cae752c2c09589a763a2afa17c32,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - Mogadishu Garage - CBMogdis02_DSNG.gif,new
104,04681--cbmogdis05-dg--e4ccc0a7,04681--cbmogdis05-dg--e4ccc0a7,1,ZH_Generals\W3D.big\Art\W3D\CBMogdis05_dg.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04681--cbmogdis05-dg--e4ccc0a7\Civilian - Civilian Building - Mogadishu Garage 02 - CBMogdis05_dg.gif,55026,09b538aa74dcbcb0237a7131cd6d969c60f01b5ca9aceef9f6aa65a44bcd82fa,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Mogadishu Garage 02 - CBMogdis05_dg.gif,new
105,04630--cbmogdis01-g--092b4ae8,04630--cbmogdis01-g--092b4ae8,1,ZH_Generals\W3D.big\Art\W3D\CBMogdis01_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04630--cbmogdis01-g--092b4ae8\Civilian - Civilian Building - Mogadishu Highrise 01 - CBMogdis01_G.gif,60418,baf4edf1382d6017f85886de3416904371d1ffe4dd52cad42a19a4a74113c6a1,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Mogadishu Highrise 01 - CBMogdis01_G.gif,new
106,04692--cbmogdis06-dg--2794b38c,04692--cbmogdis06-dg--2794b38c,1,ZH_Generals\W3D.big\Art\W3D\CBMogdis06_dg.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04692--cbmogdis06-dg--2794b38c\Civilian - Civilian Building - Mogadishu Highrise 02 - CBMogdis06_dg.gif,65450,3d400c61f84e87bbc4576c6cd734d3c31fa292bc47162e154321dff0e55356db,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Mogadishu Highrise 02 - CBMogdis06_dg.gif,new
107,04709--cbmogdis07-dg--5a24fde5,04709--cbmogdis07-dg--5a24fde5,1,ZH_Generals\W3D.big\Art\W3D\CBMogdis07_DG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04709--cbmogdis07-dg--5a24fde5\Civilian - Civilian Building - Mogadishu Highrise 03 - CBMogdis07_DG.gif,64763,8976d90293e86204c8175179bbe8ed72cf739a52806d8f4b69b6ad887865fb78,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Mogadishu Highrise 03 - CBMogdis07_DG.gif,new
108,05524--cbtower04-g--9768c8eb,05524--cbtower04-g--9768c8eb,1,ZH_Generals\W3D.big\Art\W3D\CBTower04_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05524--cbtower04-g--9768c8eb\Civilian - Civilian Building - Mogadishu Tower 04 - CBTower04_G.gif,38932,f8908eec9db44fea2d4bb3e5dd19c79186ae3cd2f8290b9503ecf20d80015a1d,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Mogadishu Tower 04 - CBTower04_G.gif,new
109,05533--cbtower05-g--5e0a170f,05533--cbtower05-g--5e0a170f,1,ZH_Generals\W3D.big\Art\W3D\CBTower05_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05533--cbtower05-g--5e0a170f\Civilian - Civilian Building - Mogadishu Tower 05 - CBTower05_G.gif,24302,5de8966f6979e091055cd6c27fa3cd87f57d8c25f4b3884836cb9cb7a0c5b850,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Mogadishu Tower 05 - CBTower05_G.gif,new
110,01072--cbmonoffce--8110aa40,01072--cbmonoffce--8110aa40,1,W3DZH.big\Art\W3D\CBMonOffce.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01072--cbmonoffce--8110aa40\Civilian - Civilian Building - Mon Offce - CBMonOffce.gif,62223,c5ce0c54ef520459451d5626d6febcf2e21a335fae9275cba2b5527dbee686a6,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - Mon Offce - CBMonOffce.gif,new
111,01329--cbnoffice-dg--69c02cad,01329--cbnoffice-dg--69c02cad,1,W3DZH.big\Art\W3D\CBNOffice_dg.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01329--cbnoffice-dg--69c02cad\Civilian - Civilian Building - N Office dg - CBNOffice_dg.gif,56706,aa08af204bdba907e4b403296d04c11dce0ae792e2ab9b5d5ff5603c8b4874b5,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - N Office dg - CBNOffice_dg.gif,new
112,01457--cbntemple-dg--8e702a6c,01457--cbntemple-dg--8e702a6c,1,W3DZH.big\Art\W3D\CBNTemple_dg.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01457--cbntemple-dg--8e702a6c\Civilian - Civilian Building - N Temple dg - CBNTemple_dg.gif,36571,88ce0e264cc82ca11158eebd9797a422743245e8c7066404b7bdcaf40f693052,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - N Temple dg - CBNTemple_dg.gif,new
113,01459--cbntemple-dng--af6b4b93,01459--cbntemple-dng--af6b4b93,1,W3DZH.big\Art\W3D\CBNTemple_dng.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01459--cbntemple-dng--af6b4b93\Civilian - Civilian Building - N Temple dng - CBNTemple_dng.gif,37683,d8227114b443d480c887de29c66deb75cf822a6bae619b431a00809edb1adbc2,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - N Temple dng - CBNTemple_dng.gif,new
114,01461--cbntemple-dsg--2ad27a46,01461--cbntemple-dsg--2ad27a46,1,W3DZH.big\Art\W3D\CBNTemple_dsg.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01461--cbntemple-dsg--2ad27a46\Civilian - Civilian Building - N Temple dsg - CBNTemple_dsg.gif,38486,6e4382488e57863bec3a1fa5ff151f1908bdf21da97bce1ed1ad82764e992623,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - N Temple dsg - CBNTemple_dsg.gif,new
115,01463--cbntemple-dsng--ea2a9e8a,01463--cbntemple-dsng--ea2a9e8a,1,W3DZH.big\Art\W3D\CBNTemple_dsng.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01463--cbntemple-dsng--ea2a9e8a\Civilian - Civilian Building - N Temple dsng - CBNTemple_dsng.gif,38967,5857ec163b0610d3c4c0512f861741be32e9a9a5132b7e874746ef72be0b62d7,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - N Temple dsng - CBNTemple_dsng.gif,new
116,01468--cbntemple-g--7447e8b0,01468--cbntemple-g--7447e8b0,1,W3DZH.big\Art\W3D\CBNTemple_g.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01468--cbntemple-g--7447e8b0\Civilian - Civilian Building - N Temple g - CBNTemple_g.gif,73579,6183ffbd6b55febad8140a3fa84b59fdc215fcc49a07f3f45671f4b197578e3c,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - N Temple g - CBNTemple_g.gif,new
117,01470--cbntemple-ng--8738e477,01470--cbntemple-ng--8738e477,1,W3DZH.big\Art\W3D\CBNTemple_ng.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01470--cbntemple-ng--8738e477\Civilian - Civilian Building - N Temple ng - CBNTemple_ng.gif,72715,bc3b97db1bf06c78b7b7d7fe6686fde8ab91b1efc5019bf70cf6792350ce3fdd,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - N Temple ng - CBNTemple_ng.gif,new
118,01477--cbntemple-sg--c6ac8d18,01477--cbntemple-sg--c6ac8d18,1,W3DZH.big\Art\W3D\CBNTemple_sg.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01477--cbntemple-sg--c6ac8d18\Civilian - Civilian Building - N Temple sg - CBNTemple_sg.gif,74213,81d5ac0f5be7e87aef12d306d5566effe7513c582e2cbc0dec16df1d839ed4e3,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - N Temple sg - CBNTemple_sg.gif,new
119,01479--cbntemple-sng--f5da97c9,01479--cbntemple-sng--f5da97c9,1,W3DZH.big\Art\W3D\CBNTemple_sng.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01479--cbntemple-sng--f5da97c9\Civilian - Civilian Building - N Temple sng - CBNTemple_sng.gif,74924,85c131d8a3195acbcfaa0463cbc3a51011a6c15134a362868601631185ec5b28,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - N Temple sng - CBNTemple_sng.gif,new
120,01480--cbntmhv-fh-gs--f8060c2a,01480--cbntmhv-fh-gs--f8060c2a,1,W3DZH.big\Art\W3D\CBNTmHv_FH_GS.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01480--cbntmhv-fh-gs--f8060c2a\Civilian - Civilian Building - N Tm Hv FH GS - CBNTmHv_FH_GS.gif,54975,7d8ea072d39d55ac4c573adc498c8c55702b99929d4e9e84b2edaf5e90953560,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - N Tm Hv FH GS - CBNTmHv_FH_GS.gif,new
123,05074--cboilrfny-g--9339a918,05074--cboilrfny-g--9339a918,1,ZH_Generals\W3D.big\Art\W3D\CBOilRfny_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05074--cboilrfny-g--9339a918\Civilian - Civilian Building - Oil Refinery - CBOilRfny_G.gif,64409,206f5c74e7a7b756be13001a19229e487549e1eaa62721a37f7b7ac6d3c49074,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Oil Refinery - CBOilRfny_G.gif,new
124,05093--cbquonset1-g--cdcad5ad,05093--cbquonset1-g--cdcad5ad,1,ZH_Generals\W3D.big\Art\W3D\CBQuonset1_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05093--cbquonset1-g--cdcad5ad\Civilian - Civilian Building - Quonset Hut 01 - CBQuonset1_G.gif,104428,fc28da665d7ef9cfe653fa937d9adebe1789b7febafe175c0d6316d723819f8e,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Quonset Hut 01 - CBQuonset1_G.gif,new
125,01645--cbsecrtlab-g--88845ee2,01645--cbsecrtlab-g--88845ee2,1,W3DZH.big\Art\W3D\CBSecrtLab_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01645--cbsecrtlab-g--88845ee2\Civilian - Civilian Building - Secret Lab - CBSecrtLab_G.gif,57064,3498c51282fb2e5a0c805cac1935a528f2fb0f150467adc59b500c79a96cbab6,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - Secret Lab - CBSecrtLab_G.gif,new
126,05019--cbnshack-g--badd3e62,05019--cbnshack-g--badd3e62,1,ZH_Generals\W3D.big\Art\W3D\CBNShack_g.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05019--cbnshack-g--badd3e62\Civilian - Civilian Building - Shack - CBNShack_g.gif,100022,4110373c51549839977a514bbda0a02e97197b5c1ea0556a03addb7461871d8b,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Shack - CBNShack_g.gif,new
127,05122--cbsovbldg-g--b9308fc4,05122--cbsovbldg-g--b9308fc4,1,ZH_Generals\W3D.big\Art\W3D\CBSovBldg_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05122--cbsovbldg-g--b9308fc4\Civilian - Civilian Building - Soviet Building - CBSovBldg_G.gif,81499,06356e54f9051ddd78d361d284de8910681f737fe939131b6c8803846ff78ba4,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Soviet Building - CBSovBldg_G.gif,new
128,05134--cbsovrdio-g--0aad82b3,05134--cbsovrdio-g--0aad82b3,1,ZH_Generals\W3D.big\Art\W3D\CBSovRdio_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05134--cbsovrdio-g--0aad82b3\Civilian - Civilian Building - Soviet Radio Building - CBSovRdio_G.gif,52067,a4e81d5299f3839e3ef387a61dfbed9c40ac8cd6f11fcbae678d888e635df881,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Soviet Radio Building - CBSovRdio_G.gif,new
129,05213--cbtconvst1-g--30bb37b5,05213--cbtconvst1-g--30bb37b5,1,ZH_Generals\W3D.big\Art\W3D\CBTConvSt1_g.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05213--cbtconvst1-g--30bb37b5\Civilian - Civilian Building - Stan Convenience Store 01 - CBTConvSt1_g.gif,71452,3d5a06987f0600fc9492957a1353e81a4e05a86e74579c79d66b1a9568965c1d,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Stan Convenience Store 01 - CBTConvSt1_g.gif,new
130,05233--cbtconvst2-g--be23cafd,05233--cbtconvst2-g--be23cafd,1,ZH_Generals\W3D.big\Art\W3D\CBTConvSt2_g.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05233--cbtconvst2-g--be23cafd\Civilian - Civilian Building - Stan Convenience Store 02 - CBTConvSt2_g.gif,64227,e0197216c7579e795fc9c77c6e3d2ac00b807da0bb0c001be02614988b2bfb86,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Stan Convenience Store 02 - CBTConvSt2_g.gif,new
131,05276--cbthanger1-g--6ca30e2e,05276--cbthanger1-g--6ca30e2e,1,ZH_Generals\W3D.big\Art\W3D\CBTHanger1_g.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05276--cbthanger1-g--6ca30e2e\Civilian - Civilian Building - Stan Hanger 01 - CBTHanger1_g.gif,42299,5e98ba33d996085cebc3262c7ad731ccf4142bfde26bb816b20b93932b5ba958,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Stan Hanger 01 - CBTHanger1_g.gif,new
132,05287--cbthanger2-g--3d055c65,05287--cbthanger2-g--3d055c65,1,ZH_Generals\W3D.big\Art\W3D\CBTHanger2_g.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05287--cbthanger2-g--3d055c65\Civilian - Civilian Building - Stan Hanger 02 - CBTHanger2_g.gif,75948,68414d541b648044ceea2f87aca393a02eaf670d42ec3e6dc8aa3a2c2f9fc144,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Stan Hanger 02 - CBTHanger2_g.gif,new
133,05682--cbtsvtofc1-g--0743ee49,05682--cbtsvtofc1-g--0743ee49,1,ZH_Generals\W3D.big\Art\W3D\CBTSvtOfc1_g.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05682--cbtsvtofc1-g--0743ee49\Civilian - Civilian Building - Stan Soviet Office 01 - CBTSvtOfc1_g.gif,44091,cb8ee0acbed38bd989d2cd086abfe99eb9e085fc0b61a5192ff245ed1aea1147,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Stan Soviet Office 01 - CBTSvtOfc1_g.gif,new
134,05693--cbtsvtofc2-g--0e4861e9,05693--cbtsvtofc2-g--0e4861e9,1,ZH_Generals\W3D.big\Art\W3D\CBTSvtOfc2_g.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05693--cbtsvtofc2-g--0e4861e9\Civilian - Civilian Building - Stan Soviet Office 02 - CBTSvtOfc2_g.gif,46459,f41244e4b02e0655da21842fc7eb2ad3b0a62acee0cbbe4625c72b89762d052a,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Stan Soviet Office 02 - CBTSvtOfc2_g.gif,new
135,05157--cbtaltower-g--248e4e5e,05157--cbtaltower-g--248e4e5e,1,ZH_Generals\W3D.big\Art\W3D\CBTalTower_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05157--cbtaltower-g--248e4e5e\Civilian - Civilian Building - Stan Tall Tower - CBTalTower_G.gif,29007,cf122b5f98498a20b9cf50ddca6ca88de39839b4be47ef1314d5f30a986384d0,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Stan Tall Tower - CBTalTower_G.gif,new
136,04614--cbmectdrl1-g--0ce7936b,04614--cbmectdrl1-g--0ce7936b,1,ZH_Generals\W3D.big\Art\W3D\CBMeCtdrl1_g.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04614--cbmectdrl1-g--0ce7936b\Civilian - Civilian Building - Stan Town Hall 01 - CBMeCtdrl1_g.gif,58740,34aed413ac5f1a966e8ad9d13fc7c78c0f4e21a50aedd30c9aafabf8e111cd5e,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Stan Town Hall 01 - CBMeCtdrl1_g.gif,new
137,04622--cbmectdrl2-g--99a7599e,04622--cbmectdrl2-g--99a7599e,1,ZH_Generals\W3D.big\Art\W3D\CBMeCtdrl2_g.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04622--cbmectdrl2-g--99a7599e\Civilian - Civilian Building - Stan Town Hall 02 - CBMeCtdrl2_g.gif,56666,96ec503cce6de2a0101cadab09a676a1963b016449b0c0a62f3748c26ca82ec6,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Stan Town Hall 02 - CBMeCtdrl2_g.gif,new
138,05854--cmtgovbuil-dng--611a5e9e,05854--cmtgovbuil-dng--611a5e9e,1,ZH_Generals\W3D.big\Art\W3D\CMTGovBuil_DNG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05854--cmtgovbuil-dng--611a5e9e\Civilian - Civilian Building - Stan Town Hall 03 - CMTGovBuil_DNG.gif,46151,801940d9d6df9924d8eb1b8687ef603041c409dec5da4dd5626c346666747796,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Stan Town Hall 03 - CMTGovBuil_DNG.gif,new
139,05504--cbtower01-ng--a9994b08,05504--cbtower01-ng--a9994b08,1,ZH_Generals\W3D.big\Art\W3D\CBTower01_NG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05504--cbtower01-ng--a9994b08\Civilian - Civilian Building - Stan Watch Tower Tall - CBTower01_NG.gif,23677,789733c6d339753f715678c6b03af7562563c0d45305218faf9a172b46445d7c,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Stan Watch Tower Tall - CBTower01_NG.gif,new
140,05027--cbnsubst-g--9fa05560,05027--cbnsubst-g--9fa05560,1,ZH_Generals\W3D.big\Art\W3D\CBNSubSt_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05027--cbnsubst-g--9fa05560\Civilian - Civilian Building - Subway 01 - CBNSubSt_G.gif,36572,17848b6bbd2b703ef79894364a37e3e7932317099283c06d6ac9e141b424a2a8,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Subway 01 - CBNSubSt_G.gif,new
142,05471--cbtoildepo-dng--f623f271,05471--cbtoildepo-dng--f623f271,1,ZH_Generals\W3D.big\Art\W3D\CBTOilDepo_DNG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05471--cbtoildepo-dng--f623f271\Civilian - Civilian Building - TER Oil Depot - CBTOilDepo_DNG.gif,35122,ce2d4c2f9d413e7354b2e7f2542c95dc079d53db7cb364ff776e87e4021bfa84,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - TER Oil Depot - CBTOilDepo_DNG.gif,new
143,05494--cbtoutpost-g--cecff54b,05494--cbtoutpost-g--cecff54b,1,ZH_Generals\W3D.big\Art\W3D\CBTOutpost_g.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05494--cbtoutpost-g--cecff54b\Civilian - Civilian Building - TER Out Post - CBTOutpost_g.gif,42743,187c581bb713d4f5929c7d3ce2e51d2e7b06f4324a50de5bfebdf0e29e2a25b6,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - TER Out Post - CBTOutpost_g.gif,new
144,02258--cbtusabldng01--d7900d43,02258--cbtusabldng01--d7900d43,1,W3DZH.big\Art\W3D\CBTUSABldng01.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02258--cbtusabldng01--d7900d43\Civilian - Civilian Building - TUSA Bldng 01 - CBTUSABldng01.gif,47169,2dcfd1aa60d488369eaa11b2bc2d7b7cd70a62e7be3033dae37d30d84d6470d0,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - TUSA Bldng 01 - CBTUSABldng01.gif,new
