production_number,case,source_path_relative,faction_or_context,functional_family,descriptive_asset_name,canonical_stem,rendered_format,review_decision,recommended_format,review_notes,rendered_media,recommended_media,reused_reviewed_pilot
175,04524--cbgshop-dg--d276b65b,ZH_Generals\W3D.big\Art\W3D\CBGShop_DG.w3d,Civilian,Commercial Building,German Pub 01,CBGShop_DG,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04524--cbgshop-dg--d276b65b\Civilian - Commercial Building - German Pub 01 - CBGShop_DG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04524--cbgshop-dg--d276b65b\Civilian - Commercial Building - German Pub 01 - CBGShop_DG.gif,False
176,00831--cbgreshop-g--69b36d99,W3DZH.big\Art\W3D\CBGRESHOP_G.w3d,Civilian,Commercial Building,Greek Shop,CBGRESHOP_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00831--cbgreshop-g--69b36d99\Civilian - Commercial Building - Greek Shop - CBGRESHOP_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00831--cbgreshop-g--69b36d99\Civilian - Commercial Building - Greek Shop - CBGRESHOP_G.gif,False
177,05310--cbthotel03-g--f8a709cd,ZH_Generals\W3D.big\Art\W3D\CBTHotel03_G.w3d,Civilian,Commercial Building,International Hotel 01,CBTHotel03_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05310--cbthotel03-g--f8a709cd\Civilian - Commercial Building - International Hotel 01 - CBTHotel03_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05310--cbthotel03-g--f8a709cd\Civilian - Commercial Building - International Hotel 01 - CBTHotel03_G.gif,False
178,04653--cbmogdis03-dg--c53bcf7c,ZH_Generals\W3D.big\Art\W3D\CBMogdis03_DG.w3d,Civilian,Commercial Building,Mogadishu Shop 01,CBMogdis03_DG,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04653--cbmogdis03-dg--c53bcf7c\Civilian - Commercial Building - Mogadishu Shop 01 - CBMogdis03_DG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04653--cbmogdis03-dg--c53bcf7c\Civilian - Commercial Building - Mogadishu Shop 01 - CBMogdis03_DG.gif,False
179,04670--cbmogdis04-dg--444367b0,ZH_Generals\W3D.big\Art\W3D\CBMogdis04_DG.w3d,Civilian,Commercial Building,Mogadishu Shop 02,CBMogdis04_DG,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04670--cbmogdis04-dg--444367b0\Civilian - Commercial Building - Mogadishu Shop 02 - CBMogdis04_DG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04670--cbmogdis04-dg--444367b0\Civilian - Commercial Building - Mogadishu Shop 02 - CBMogdis04_DG.gif,False
180,05631--cbtsmlapt-gd--d93af5f7,ZH_Generals\W3D.big\Art\W3D\CBTSmlApt_GD.w3d,Civilian,Commercial Building,Mogadishu Small Apartment,CBTSmlApt_GD,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05631--cbtsmlapt-gd--d93af5f7\Civilian - Commercial Building - Mogadishu Small Apartment - CBTSmlApt_GD.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05631--cbtsmlapt-gd--d93af5f7\Civilian - Commercial Building - Mogadishu Small Apartment - CBTSmlApt_GD.gif,False
181,04982--cbnretal03-g--968f9078,ZH_Generals\W3D.big\Art\W3D\CBNRetal03_G.w3d,Civilian,Commercial Building,Retail 01,CBNRetal03_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04982--cbnretal03-g--968f9078\Civilian - Commercial Building - Retail 01 - CBNRetal03_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04982--cbnretal03-g--968f9078\Civilian - Commercial Building - Retail 01 - CBNRetal03_G.gif,False
182,04992--cbnretal05-g--43ef8692,ZH_Generals\W3D.big\Art\W3D\CBNRetal05_G.w3d,Civilian,Commercial Building,Retail 03,CBNRetal05_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04992--cbnretal05-g--43ef8692\Civilian - Commercial Building - Retail 03 - CBNRetal05_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04992--cbnretal05-g--43ef8692\Civilian - Commercial Building - Retail 03 - CBNRetal05_G.gif,False
183,00332--cbamershp1-g--deef7452,W3DZH.big\Art\W3D\CBAmerShp1_G.w3d,Civilian,Commercial Building,Shop 01,CBAmerShp1_G,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00332--cbamershp1-g--deef7452\Civilian - Commercial Building - Shop 01 - CBAmerShp1_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00332--cbamershp1-g--deef7452\Civilian - Commercial Building - Shop 01 - CBAmerShp1_G.gif,True
184,00337--cbamershp2-g--b71472cf,W3DZH.big\Art\W3D\CBAmerShp2_G.w3d,Civilian,Commercial Building,Shop 02,CBAmerShp2_G,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00337--cbamershp2-g--b71472cf\Civilian - Commercial Building - Shop 02 - CBAmerShp2_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00337--cbamershp2-g--b71472cf\Civilian - Commercial Building - Shop 02 - CBAmerShp2_G.gif,True
185,05111--cbsovbld2-g--1259e0af,ZH_Generals\W3D.big\Art\W3D\CBsovbld2_G.w3d,Civilian,Commercial Building,Soviet Government Building Small,CBsovbld2_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05111--cbsovbld2-g--1259e0af\Civilian - Commercial Building - Soviet Government Building Small - CBsovbld2_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05111--cbsovbld2-g--1259e0af\Civilian - Commercial Building - Soviet Government Building Small - CBsovbld2_G.gif,False
186,05262--cbtgasstn-g--37a8f230,ZH_Generals\W3D.big\Art\W3D\CBTGasStn_G.w3d,Civilian,Commercial Building,Stan Gas Station,CBTGasStn_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05262--cbtgasstn-g--37a8f230\Civilian - Commercial Building - Stan Gas Station - CBTGasStn_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05262--cbtgasstn-g--37a8f230\Civilian - Commercial Building - Stan Gas Station - CBTGasStn_G.gif,False
187,05293--cbthotel01-dg--19a846ff,ZH_Generals\W3D.big\Art\W3D\CBThotel01_dg.w3d,Civilian,Commercial Building,Stan Hotel 01,CBThotel01_dg,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05293--cbthotel01-dg--19a846ff\Civilian - Commercial Building - Stan Hotel 01 - CBThotel01_dg.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05293--cbthotel01-dg--19a846ff\Civilian - Commercial Building - Stan Hotel 01 - CBThotel01_dg.gif,False
188,01781--cbthotel02-dng--070a576e,W3DZH.big\Art\W3D\CBTHotel02_dng.w3d,Civilian,Commercial Building,Stan Hotel 02,CBTHotel02_dng,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01781--cbthotel02-dng--070a576e\Civilian - Commercial Building - Stan Hotel 02 - CBTHotel02_dng.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01781--cbthotel02-dng--070a576e\Civilian - Commercial Building - Stan Hotel 02 - CBTHotel02_dng.gif,False
189,05604--cbtrestrn1-g--5dcd9427,ZH_Generals\W3D.big\Art\W3D\CBTRestrn1_G.w3d,Civilian,Commercial Building,Stan Restaurant 01,CBTRestrn1_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05604--cbtrestrn1-g--5dcd9427\Civilian - Commercial Building - Stan Restaurant 01 - CBTRestrn1_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05604--cbtrestrn1-g--5dcd9427\Civilian - Commercial Building - Stan Restaurant 01 - CBTRestrn1_G.gif,False
190,05615--cbtrestrn2-g--86149d75,ZH_Generals\W3D.big\Art\W3D\CBTRestrn2_G.w3d,Civilian,Commercial Building,Stan Restaurant 02,CBTRestrn2_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05615--cbtrestrn2-g--86149d75\Civilian - Commercial Building - Stan Restaurant 02 - CBTRestrn2_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05615--cbtrestrn2-g--86149d75\Civilian - Commercial Building - Stan Restaurant 02 - CBTRestrn2_G.gif,False
191,05651--cbtsmlrtl1-g--66b71729,ZH_Generals\W3D.big\Art\W3D\CBTsmlrtl1_G.w3d,Civilian,Commercial Building,Stan Small Retail 01,CBTsmlrtl1_G,gif,reject,,component only or contextless subassembly,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05651--cbtsmlrtl1-g--66b71729\Civilian - Commercial Building - Stan Small Retail 01 - CBTsmlrtl1_G.gif,,False
192,05668--cbtsmlrtl2-g--5d7fbcf4,ZH_Generals\W3D.big\Art\W3D\CBTsmlrtl2_G.w3d,Civilian,Commercial Building,Stan Small Retail 02,CBTsmlrtl2_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05668--cbtsmlrtl2-g--5d7fbcf4\Civilian - Commercial Building - Stan Small Retail 02 - CBTsmlrtl2_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05668--cbtsmlrtl2-g--5d7fbcf4\Civilian - Commercial Building - Stan Small Retail 02 - CBTsmlrtl2_G.gif,False
193,02157--cbtsmlrtl03-sg--b1c713b5,W3DZH.big\Art\W3D\CBTsmlrtl03_SG.w3d,Civilian,Commercial Building,Stan Small Retail 03,CBTsmlrtl03_SG,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02157--cbtsmlrtl03-sg--b1c713b5\Civilian - Commercial Building - Stan Small Retail 03 - CBTsmlrtl03_SG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02157--cbtsmlrtl03-sg--b1c713b5\Civilian - Commercial Building - Stan Small Retail 03 - CBTsmlrtl03_SG.gif,False
194,04284--cbapt01-g--a85ca883,ZH_Generals\W3D.big\Art\W3D\CBApt01_G.w3d,Civilian,Residential Building,Asia Apartment 02,CBApt01_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04284--cbapt01-g--a85ca883\Civilian - Residential Building - Asia Apartment 02 - CBApt01_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04284--cbapt01-g--a85ca883\Civilian - Residential Building - Asia Apartment 02 - CBApt01_G.gif,False
195,01074--cbnapart01-dsg--8d41864e,W3DZH.big\Art\W3D\CBNApart01_DSG.w3d,Civilian,Residential Building,Asian Apartment 01,CBNApart01_DSG,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01074--cbnapart01-dsg--8d41864e\Civilian - Residential Building - Asian Apartment 01 - CBNApart01_DSG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01074--cbnapart01-dsg--8d41864e\Civilian - Residential Building - Asian Apartment 01 - CBNApart01_DSG.gif,False
196,04755--cbnaptcom-g--eaf70e3c,ZH_Generals\W3D.big\Art\W3D\CBNAptCom_G.w3d,Civilian,Residential Building,Asian Apartment Complex,CBNAptCom_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04755--cbnaptcom-g--eaf70e3c\Civilian - Residential Building - Asian Apartment Complex - CBNAptCom_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04755--cbnaptcom-g--eaf70e3c\Civilian - Residential Building - Asian Apartment Complex - CBNAptCom_G.gif,False
197,04761--cbnaptsingle-g--746f6bff,ZH_Generals\W3D.big\Art\W3D\CBNAptSingle_G.w3d,Civilian,Residential Building,Asian Apartment Single 01,CBNAptSingle_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04761--cbnaptsingle-g--746f6bff\Civilian - Residential Building - Asian Apartment Single 01 - CBNAptSingle_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04761--cbnaptsingle-g--746f6bff\Civilian - Residential Building - Asian Apartment Single 01 - CBNAptSingle_G.gif,False
198,04769--cbnaptunit-g--b85eaa4a,ZH_Generals\W3D.big\Art\W3D\CBNAptUnit_G.w3d,Civilian,Residential Building,Asian Apartment Unit,CBNAptUnit_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04769--cbnaptunit-g--b85eaa4a\Civilian - Residential Building - Asian Apartment Unit - CBNAptUnit_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04769--cbnaptunit-g--b85eaa4a\Civilian - Residential Building - Asian Apartment Unit - CBNAptUnit_G.gif,False
199,04869--cbnfarmhse-dg--b5e52642,ZH_Generals\W3D.big\Art\W3D\CBNFarmHse_dg.w3d,Civilian,Residential Building,Farm House,CBNFarmHse_dg,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04869--cbnfarmhse-dg--b5e52642\Civilian - Residential Building - Farm House - CBNFarmHse_dg.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04869--cbnfarmhse-dg--b5e52642\Civilian - Residential Building - Farm House - CBNFarmHse_dg.gif,False
200,05578--cbtownhs01-g--c5bd66ad,ZH_Generals\W3D.big\Art\W3D\CBTownHs01_G.w3d,Civilian,Residential Building,German Town House 1,CBTownHs01_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05578--cbtownhs01-g--c5bd66ad\Civilian - Residential Building - German Town House 1 - CBTownHs01_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05578--cbtownhs01-g--c5bd66ad\Civilian - Residential Building - German Town House 1 - CBTownHs01_G.gif,False
201,05592--cbtownhs02-g--726f42db,ZH_Generals\W3D.big\Art\W3D\CBTownHs02_G.w3d,Civilian,Residential Building,German Town House 2,CBTownHs02_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05592--cbtownhs02-g--726f42db\Civilian - Residential Building - German Town House 2 - CBTownHs02_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05592--cbtownhs02-g--726f42db\Civilian - Residential Building - German Town House 2 - CBTownHs02_G.gif,False
202,00816--cbgreek1-g--b11242ad,W3DZH.big\Art\W3D\CBGREEK1_G.w3d,Civilian,Residential Building,Greek House 1,CBGREEK1_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00816--cbgreek1-g--b11242ad\Civilian - Residential Building - Greek House 1 - CBGREEK1_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00816--cbgreek1-g--b11242ad\Civilian - Residential Building - Greek House 1 - CBGREEK1_G.gif,False
203,00821--cbgreek2-g--41ba4338,W3DZH.big\Art\W3D\CBGREEK2_G.w3d,Civilian,Residential Building,Greek House 2,CBGREEK2_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00821--cbgreek2-g--41ba4338\Civilian - Residential Building - Greek House 2 - CBGREEK2_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00821--cbgreek2-g--41ba4338\Civilian - Residential Building - Greek House 2 - CBGREEK2_G.gif,False
204,00826--cbgreek3-g--b329ea0a,W3DZH.big\Art\W3D\CBGREEK3_G.w3d,Civilian,Residential Building,Greek House 3,CBGREEK3_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00826--cbgreek3-g--b329ea0a\Civilian - Residential Building - Greek House 3 - CBGREEK3_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00826--cbgreek3-g--b329ea0a\Civilian - Residential Building - Greek House 3 - CBGREEK3_G.gif,False
205,02387--cmamhome1-dg--5379c27e,W3DZH.big\Art\W3D\CMAMHOME1_DG.w3d,Civilian,Residential Building,Home 01,CMAMHOME1_DG,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02387--cmamhome1-dg--5379c27e\Civilian - Residential Building - Home 01 - CMAMHOME1_DG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02387--cmamhome1-dg--5379c27e\Civilian - Residential Building - Home 01 - CMAMHOME1_DG.gif,False
206,02392--cmamhome2-dg--0b7f80fb,W3DZH.big\Art\W3D\CMAMHOME2_DG.w3d,Civilian,Residential Building,Home 02,CMAMHOME2_DG,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02392--cmamhome2-dg--0b7f80fb\Civilian - Residential Building - Home 02 - CMAMHOME2_DG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02392--cmamhome2-dg--0b7f80fb\Civilian - Residential Building - Home 02 - CMAMHOME2_DG.gif,False
207,05198--cbtarchse-g--d85e4bfb,ZH_Generals\W3D.big\Art\W3D\CBTArcHse_G.w3d,Civilian,Residential Building,Mogadishu Arched House,CBTArcHse_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05198--cbtarchse-g--d85e4bfb\Civilian - Residential Building - Mogadishu Arched House - CBTArcHse_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05198--cbtarchse-g--d85e4bfb\Civilian - Residential Building - Mogadishu Arched House - CBTArcHse_G.gif,False
208,04726--cbmogdis08-dg--f5aebfe2,ZH_Generals\W3D.big\Art\W3D\CBMogdis08_dg.w3d,Civilian,Residential Building,Mogadishu House 01,CBMogdis08_dg,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04726--cbmogdis08-dg--f5aebfe2\Civilian - Residential Building - Mogadishu House 01 - CBMogdis08_dg.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04726--cbmogdis08-dg--f5aebfe2\Civilian - Residential Building - Mogadishu House 01 - CBMogdis08_dg.gif,False
209,01808--cbthouse01-sg--b293e6fb,W3DZH.big\Art\W3D\CBTHouse01_SG.w3d,Civilian,Residential Building,Mogadishu House 02,CBTHouse01_SG,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01808--cbthouse01-sg--b293e6fb\Civilian - Residential Building - Mogadishu House 02 - CBTHouse01_SG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01808--cbthouse01-sg--b293e6fb\Civilian - Residential Building - Mogadishu House 02 - CBTHouse01_SG.gif,False
210,05331--cbthouse03-g--66a6eb90,ZH_Generals\W3D.big\Art\W3D\CBTHouse03_G.w3d,Civilian,Residential Building,Mogadishu House 03,CBTHouse03_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05331--cbthouse03-g--66a6eb90\Civilian - Residential Building - Mogadishu House 03 - CBTHouse03_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05331--cbthouse03-g--66a6eb90\Civilian - Residential Building - Mogadishu House 03 - CBTHouse03_G.gif,False
211,05343--cbthouse04-g--9da97bd7,ZH_Generals\W3D.big\Art\W3D\CBTHouse04_G.w3d,Civilian,Residential Building,Mogadishu House 04,CBTHouse04_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05343--cbthouse04-g--9da97bd7\Civilian - Residential Building - Mogadishu House 04 - CBTHouse04_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05343--cbthouse04-g--9da97bd7\Civilian - Residential Building - Mogadishu House 04 - CBTHouse04_G.gif,False
212,05358--cbthouse05-g--8d935260,ZH_Generals\W3D.big\Art\W3D\CBTHouse05_G.w3d,Civilian,Residential Building,Mogadishu House 05,CBTHouse05_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05358--cbthouse05-g--8d935260\Civilian - Residential Building - Mogadishu House 05 - CBTHouse05_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05358--cbthouse05-g--8d935260\Civilian - Residential Building - Mogadishu House 05 - CBTHouse05_G.gif,False
213,05372--cbthouse06-g--1408aac9,ZH_Generals\W3D.big\Art\W3D\CBTHouse06_G.w3d,Civilian,Residential Building,Mogadishu House 06,CBTHouse06_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05372--cbthouse06-g--1408aac9\Civilian - Residential Building - Mogadishu House 06 - CBTHouse06_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05372--cbthouse06-g--1408aac9\Civilian - Residential Building - Mogadishu House 06 - CBTHouse06_G.gif,False
214,05383--cbthouse07-g--df265d59,ZH_Generals\W3D.big\Art\W3D\CBTHouse07_G.w3d,Civilian,Residential Building,Mogadishu House 07,CBTHouse07_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05383--cbthouse07-g--df265d59\Civilian - Residential Building - Mogadishu House 07 - CBTHouse07_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05383--cbthouse07-g--df265d59\Civilian - Residential Building - Mogadishu House 07 - CBTHouse07_G.gif,False
215,05391--cbthouse08-g--a8cd5aba,ZH_Generals\W3D.big\Art\W3D\CBTHouse08_G.w3d,Civilian,Residential Building,Mogadishu House 08,CBTHouse08_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05391--cbthouse08-g--a8cd5aba\Civilian - Residential Building - Mogadishu House 08 - CBTHouse08_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05391--cbthouse08-g--a8cd5aba\Civilian - Residential Building - Mogadishu House 08 - CBTHouse08_G.gif,False
216,01895--cbthouse09-sg--83545370,W3DZH.big\Art\W3D\CBTHouse09_SG.w3d,Civilian,Residential Building,Mogadishu House 09,CBTHouse09_SG,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01895--cbthouse09-sg--83545370\Civilian - Residential Building - Mogadishu House 09 - CBTHouse09_SG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01895--cbthouse09-sg--83545370\Civilian - Residential Building - Mogadishu House 09 - CBTHouse09_SG.gif,False
217,05410--cbthouse10-g--18ea7e4d,ZH_Generals\W3D.big\Art\W3D\CBTHouse10_G.w3d,Civilian,Residential Building,Mogadishu House 10,CBTHouse10_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05410--cbthouse10-g--18ea7e4d\Civilian - Residential Building - Mogadishu House 10 - CBTHouse10_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05410--cbthouse10-g--18ea7e4d\Civilian - Residential Building - Mogadishu House 10 - CBTHouse10_G.gif,False
218,01921--cbthouse11-sng--fdfcf84d,W3DZH.big\Art\W3D\CBTHouse11_sng.w3d,Civilian,Residential Building,Mogadishu House 11,CBTHouse11_sng,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01921--cbthouse11-sng--fdfcf84d\Civilian - Residential Building - Mogadishu House 11 - CBTHouse11_sng.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01921--cbthouse11-sng--fdfcf84d\Civilian - Residential Building - Mogadishu House 11 - CBTHouse11_sng.gif,False
